City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,luderitz,22,NA,1561498722,76,-26.65,15.16,55.4,9.17
352,oranjestad,72,AW,1561498840,82,12.52,-70.03,80.89,19.93
353,qasigiannguit,75,GL,1561498840,65,68.82,-51.19,46.4,8.05
354,bowen,4,AU,1561498840,87,-20.01,148.25,64.0,4.18
355,corinto,92,BR,1561498840,48,-18.36,-44.46,75.49,2.28
356,salmas,0,IR,1561498840,49,38.2,44.77,71.6,9.17
357,coihaique,75,CL,1561498503,70,-45.58,-72.07,42.8,8.05
358,mahebourg,75,MU,1561498573,78,-20.41,57.7,73.4,12.75
359,zharkent,0,KZ,1561498841,65,44.17,80.0,49.93,2.77
360,ribera,0,IT,1561498841,60,37.5,13.27,78.01,7.0
361,kandrian,80,PG,1561498841,91,-6.21,149.55,74.95,6.17
362,perez,97,PH,1561498841,94,14.19,121.92,72.61,3.09
363,dobrinka,80,RU,1561498842,86,52.17,40.48,57.13,7.87
364,xuanzhou,10,CN,1561498842,94,30.95,118.78,68.29,0.22
365,zaria,2,NG,1561498842,84,11.11,7.72,73.87,8.01
366,vanimo,95,PG,1561498842,78,-2.67,141.3,82.15,10.18
367,sobolevo,82,RU,1561498842,68,54.43,31.9,57.13,2.26
368,soskovo,98,RU,1561498843,84,52.75,35.39,57.49,0.85
369,sainte-rose,40,CA,1561498843,83,45.61,-73.79,79.0,4.7
370,yar-sale,42,RU,1561498761,78,66.83,70.83,39.85,9.24
371,henderson,1,US,1561498673,6,36.04,-114.98,99.0,23.04
372,sao filipe,0,CV,1561498411,84,14.9,-24.5,74.77,20.47
373,udachnyy,0,RU,1561498843,48,66.42,112.4,66.2,2.24
374,bertoua,99,CM,1561498844,97,4.58,13.68,68.29,3.24
375,nantucket,75,US,1561498716,93,41.28,-70.1,68.0,13.87
376,jerome,1,US,1561498844,10,34.75,-112.11,93.99,12.75
377,riverton,1,US,1561498844,27,43.02,-108.38,78.8,3.36
